Año,ID,Producto,Cantidad_Vendida,Margen_UB,Semaforo_Estado
2024,ID-3824,Galletas chocochips,565,66.62,🟢 Excelente (Alta Rentabilidad y Ventas)
2024,ID-3829,Besos de nuez,384,57.29,🟡 Estable / Alerta (Monitorear Estrategia)
2024,ID-3828,Muffins de yogurt,312,63.49,🟢 Excelente (Alta Rentabilidad y Ventas)
2024,ID-3827,Galletas danesas,294,62.52,🟢 Excelente (Alta Rentabilidad y Ventas)
2024,ID-3826,Brownie triple chocolate,247,64.48,🟡 Estable / Alerta (Monitorear Estrategia)
2024,ID-3825,Mini cheesecake,155,61.95,🟡 Estable / Alerta (Monitorear Estrategia)
2024,ID-3830,Flan de queso crema,83,56.25,🔴 Crítico (Revisar Costos o Rotación)
2024,ID-3831,Muffin de chocolate,42,64.73,🔴 Crítico (Revisar Costos o Rotación)
2025,ID-3824,Galletas chocochips,579,59.28,🟡 Estable / Alerta (Monitorear Estrategia)
2025,ID-3827,Galletas danesas,425,55.55,🟡 Estable / Alerta (Monitorear Estrategia)
2025,ID-3828,Muffins de yogurt,372,60.19,🟢 Excelente (Alta Rentabilidad y Ventas)
2025,ID-3826,Brownie triple chocolate,161,59.63,🟡 Estable / Alerta (Monitorear Estrategia)
2025,ID-3825,Mini cheesecake,139,58.94,🟡 Estable / Alerta (Monitorear Estrategia)
2025,ID-3831,Muffin de chocolate,133,60.55,🟡 Estable / Alerta (Monitorear Estrategia)
2025,ID-3829,Besos de nuez,80,59.88,🔴 Crítico (Revisar Costos o Rotación)
2025,ID-3830,Flan de queso crema,18,58.84,🔴 Crítico (Revisar Costos o Rotación)
